IDENT LAT_DEG LON_DEG LAT_RAD LON_RAD UNIT_X UNIT_Y UNIT_Z
PHMK 21.1528858300 -157.0962561100 0.3691875040319535 -2.7418469116757596 -0.85909299973023123 -0.36296124538028429 0.36085780047895027
PHLU 21.2110402700 -156.9735972200 0.37020249048460707 -2.7397061101884175 -0.85797647822376488 -0.36465610514332736 0.36180421196614643
MBAC 21.3006333300 -71.6411500000 0.37176618436854386 -1.2503739474151356 0.29345116408766958 -0.8842666316139286 0.36326152908028719
PHJR 21.3071341600 -158.0704441600 0.3718796452561563 -2.7588497006818424 -0.8642355576836428 -0.34793843141512748 0.3633672367999401
HI38 21.3081388800 -157.8536666600 0.37189718092821694 -2.7550662195626003 -0.86290705476726526 -0.35120335012332227 0.36338357378263386
PHNL 21.3178247200 -157.9202502700 0.37206623072703832 -2.7562283227849642 -0.86325766946923099 -0.35017722982029115 0.36354106207956621
HI40 21.3211166600 -157.8567000000 0.37212368591881639 -2.7551191613329324 -0.86284938727628535 -0.35112663283346746 0.36359458548219653
02HI 21.3584138800 -157.9479388800 0.37277464520965709 -2.7567115801947648 -0.86318788067904428 -0.34966323325616805 0.36420091427351292
HI55 21.3641583300 -157.8990027700 0.37287490477587321 -2.755857483952147 -0.86285508387850607 -0.35038661111780084 0.36429428622255294
HI24 21.3876916600 -157.9624666600 0.3732856388683316 -2.7569651377887698 -0.86310389274977062 -0.34937447961614254 0.36467676552413103
MBGT 21.4445444400 -71.1423444400 0.3742779070682436 -1.2416681480658815 0.30084233654876735 -0.88081220916861025 0.36560052067713283
PHNG 21.4504555500 -157.7679486100 0.37438107540019117 -2.7535701573617111 -0.86154250190645265 -0.35215132322397269 0.36569654491172732
PHHI 21.4814444400 -158.0378333300 0.37492193356222953 -2.7582805343265346 -0.86300814068051523 -0.34801521835476357 0.36619988655466046
MBSC 21.5157777700 -71.5286166600 0.37552116321390322 -1.2484098701138693 0.29475311503374324 -0.88238857194404385 0.36675742566505171
PHDH 21.5794736100 -158.1972813800 0.37663286534172674 -2.7610634277849186 -0.86339029738428041 -0.3453790028765914 0.36779143377008572
HI57 21.6740722200 -157.9466277700 0.37828392255403676 -2.7566886970084088 -0.86130711035911867 -0.34892430793070928 0.36932626359345266
HI58 21.7038861100 -157.9953750000 0.3788042730973642 -2.7575394966731359 -0.86142536706954442 -0.3481193288471589 0.36980977522518815
MBPV 21.7736000000 -72.2659000000 0.38002101001223731 -1.2612778919169703 0.28286886531094402 -0.88452740819050157 0.37093998058647309
PHPA 21.8969444400 -159.6031666600 0.38217377660426594 -2.7856007548262411 -0.86968072639844973 -0.32337665010625771 0.37293830092539387
MBNC 21.9174861100 -71.9396583300 0.38253229637962405 -1.2555839006182654 0.28761104292874978 -0.88201400188064127 0.37327093172645109
HI33 21.9424213800 -159.4402605500 0.38296749894099785 -2.7827575068351251 -0.86848034313421496 -0.32574400129492037 0.37367464352006968
PHLI 21.9759833300 -159.3389577700 0.38355326547188751 -2.7809894397827017 -0.86769809159478883 -0.32720173519347645 0.37421791289185963
PHBK 22.0227733300 -159.7850680500 0.38436990502889568 -2.7887755329956954 -0.86993232067842841 -0.32033020216155905 0.37497509120230749
HI01 22.2091900000 -159.4455338800 0.38762348970099941 -2.7828495438061691 -0.86687184556703156 -0.32504969122952976 0.37798928767201295
MYMM 22.3837916600 -73.0325361100 0.39067086354744712 -1.2746582162011515 0.26984043074500924 -0.88440419865852582 0.38080881729618421
MYAP 22.4419402700 -73.9706861100 0.39168574824740521 -1.2910320225787364 0.25521699414562404 -0.88833185514675372 0.38174703801182164
MYCI 22.7504500000 -74.1492777700 0.39707025881034397 -1.2941490350623386 0.25188173199200165 -0.88713281042889591 0.38671820457438777
MYLD 23.1789986100 -75.0936430500 0.40454984305968905 -1.3106313185398568 0.23647551327146751 -0.88834365604326493 0.39360498013958278
MYEF 23.5624597200 -75.8776013800 0.4112425019825412 -1.3243139725967932 0.22365109455485591 -0.88892141897923671 0.39974854444307234
MYLS 23.5830458300 -75.2687777700 0.41160179738221891 -1.3136879960384151 0.23304741126210399 -0.88635580432698435 0.40007785772258925
MYRP 23.6834833300 -74.8361722200 0.41335476244969077 -1.306137604828514 0.23954921784474778 -0.88389269468615639 0.40168380165301004
PHHF 23.8640500000 -166.2846333300 0.41650624536055281 -2.9022143470800024 -0.88843130160211237 -0.21682865863646017 0.40456786220298047
MYSM 24.0631277700 -74.5236500000 0.41998080791458081 -1.3006830631038722 0.24365128451704152 -0.87998849735798312 0.40774292890353703
MYAK 24.1587916600 -77.5899972200 0.42165045777034643 -1.3542009181022472 0.19608324211715875 -0.89109593036638457 0.40926691174011526
MYES 24.1670833300 -76.4828083300 0.4217951747123353 -1.3348768265302458 0.21325133420715714 -0.88708306756161193 0.40939894932003418
MYAB 24.2876777700 -77.6844305500 0.42389994474993403 -1.3558490906343694 0.19441743554816879 -0.89051618981637104 0.41131833952524716
MYCB 24.3153388800 -75.4524666600 0.42438272219419038 -1.3168939719682489 0.22890142521601209 -0.88207664497151672 0.41175833923537164
KEYW 24.5561197200 -81.7599558300 0.42858514062790809 -1.4269804255186331 0.1303579695783951 -0.90016468882369016 0.41558432689689728
KNQX 24.5746370800 -81.6866454400 0.42890832952868513 -1.4257009178372122 0.13149020354091531 -0.89986421009334128 0.41587826315624576
7FA0 24.5815305500 -81.7421166600 0.42902864327707263 -1.4266690732663101 0.13061174609497739 -0.89994156769910671 0.41598767591035102
4FA4 24.5958858000 -81.6814811100 0.42927918965451956 -1.4256107832750524 0.13154898905710402 -0.8996996827526208 0.41621550227362686
MYCA 24.6337388800 -75.6661027700 0.4299398505325403 -1.3206226254889015 0.22504090942603552 -0.88069342261237749 0.41681612786935107
7FA1 24.6487544400 -81.5798083300 0.43020192149357112 -1.4238362585043969 0.13308902594770702 -0.89908453103972119 0.41705433365135436
FD51 24.6587544400 -81.4414713800 0.43037645441877054 -1.42142182324973 0.13524858270816328 -0.89868858307024024 0.41721295705507155
MYAF 24.6979277700 -77.7956777700 0.43106015800624081 -1.3577907209070599 0.19206048736353099 -0.8879906180361139 0.41783421529779413
10FL 24.7105555500 -81.0938888800 0.43128055434445828 -1.4153553642024166 0.14063946371641042 -0.89747855011867617 0.41803444035442733
KMTH 24.7262858300 -81.0514155500 0.43155509952271887 -1.4146140647496308 0.14128686789549291 -0.89726064135439876 0.41828382999654024
2FD5 24.7339222200 -81.0186750000 0.43168837967118528 -1.4140426343532169 0.1417908624381434 -0.89712468587826033 0.41840488682241794
MYER 24.8917027700 -76.1777777700 0.43444216976429278 -1.3295530389390438 0.21671653624510054 -0.8808367508153665 0.42090445629733364
FA05 24.9348544400 -80.6008952700 0.43519530848352683 -1.4067510025166239 0.14808799822495947 -0.8946138350611097 0.42158751274080447
42FL 24.9712419400 -80.5956177700 0.43583039016509628 -1.4066588927653501 0.14812662087120815 -0.89433586656814701 0.42216331195294443
FA81 25.0049138300 -80.5331620000 0.43641807551096568 -1.4055688339419816 0.14906057908713188 -0.89392899381434354 0.42269598741919023
FD05 25.0069111100 -80.5223277700 0.4364529346230499 -1.4053797409565634 0.14922718575163446 -0.89388625730535898 0.42272757898351593
47FA 25.0230963600 -80.4963996900 0.43673542052580833 -1.4049272105918429 0.14961195867073798 -0.89370082464324341 0.42298356688492289
MYNN 25.0391144400 -77.4663676900 0.43701498876165612 -1.352043175751054 0.1966176045490797 -0.88442753408275587 0.423236877572923
MYAN 25.0538944400 -78.0489416600 0.43727294842510095 -1.3622110096639686 0.18759226926860059 -0.88627411589325966 0.42347057986155051
MYEM 25.2847097200 -76.3310083300 0.44130143502501351 -1.3322274167257184 0.21367278023613798 -0.87858714450106723 0.42711657952322557
07FA 25.3243069400 -80.2757291600 0.44199253688865009 -1.4010757832812217 0.15267515715989921 -0.89091392248989376 0.42774136940430674
14FD 25.4302222200 -80.3390500000 0.44384110725282178 -1.4021809404243504 0.15155751012987126 -0.89030109013504932 0.42941156252198975
FD17 25.4483083300 -80.4100916600 0.44415676942119964 -1.4034208512974329 0.15043091062096234 -0.89035462442208124 0.42969661844138668
FD34 25.4539722200 -80.4071166600 0.44425562295017046 -1.4033689277521859 0.15047006141318994 -0.89030492490553159 0.42978587844095872
MYEH 25.4756333300 -76.6813666600 0.44463368063930714 -1.3383423231460072 0.20796731447608788 -0.87848743948677888 0.43012720766485718
KHST 25.4885506300 -80.3835664100 0.44485913005477495 -1.4029578983500182 0.15079263309306629 -0.88998710589227248 0.4303307253152589
X51 25.4992269400 -80.5542466600 0.44504546681623858 -1.4059368306806452 0.14812759431458497 -0.89035324271324001 0.43049891868922524
4FD3 25.5152527700 -80.5135000000 0.44532517031510344 -1.4052256673044543 0.14874089186414952 -0.89012887447592437 0.43075135973282941
78FD 25.5464972200 -80.4656116600 0.44587048884057817 -1.40438985809814 0.14944588732828354 -0.88977246033315238 0.43124342962339801
FL31 25.5545527700 -80.5539472200 0.44601108471113726 -1.4059316044667329 0.14806395463381397 -0.88994199269069518 0.43137027596243893
04FA 25.5587191600 -80.5150572200 0.44608380193455938 -1.4052528459206324 0.14866280672918314 -0.88981034645291457 0.43143587848108517
FA47 25.5661805500 -80.3581805500 0.44621402775683472 -1.4025148315095679 0.1510891485321596 -0.88934457274567325 0.43155335721512228
11FA 25.5837180500 -80.4997791600 0.4465201148744033 -1.4049861934703152 0.14886898792705225 -0.88958492950700851 0.43182945433074132
FA35 25.6195277700 -80.4886666600 0.44714511239262056 -1.4047922437571874 0.14899689302446298 -0.88928968384566942 0.43239308976292151
FL91 25.6299500000 -80.3442055500 0.44732701462152069 -1.4022709217466016 0.15122540778906354 -0.88883363475798904 0.43255710115767754
KTMB 25.6475637200 -80.4332246100 0.44763443202904507 -1.4038245974406318 0.14982215939034646 -0.88893634887893225 0.43283425025915745
9FA8 25.6860750000 -80.3384777700 0.44830658066420248 -1.4021709531267716 0.15124307839668066 -0.8884003777585332 0.43344007663757977
2FA0 25.6961305500 -80.3810388800 0.44848208311980137 -1.4029137846295754 0.1505703917371202 -0.88843746676234503 0.43359822968392925
MYBS 25.6999777700 -79.2651361100 0.44854922977584999 -1.3834376071609502 0.16783868380956157 -0.88530801294872308 0.43365873498161828
70FL 25.7311111100 -80.3861111100 0.44909260906599285 -1.4030023117434938 0.15044750150927236 -0.88818962218850872 0.4341482976198936
3FL5 25.7340277700 -80.1667500000 0.44914351438615407 -1.3991737381231641 0.15384311538781517 -0.88758533780769977 0.43419415467802303
MYBG 25.7383833300 -77.8402888800 0.44921953324892222 -1.3585693316595293 0.18973933120046552 -0.88057648847256831 0.4342626326831735
FL25 25.7393750000 -80.2131861100 0.44923684115551543 -1.3999842011344823 0.15311682115923947 -0.88766979435364368 0.43427822334334182
FA76 25.7409388800 -80.2946666600 0.4492641360106216 -1.4014063050083183 0.15185230975803493 -0.88787496046119474 0.43430280980806657
FL94 25.7682055500 -80.3451500000 0.44974002917817635 -1.4022874055087222 0.15103526361029296 -0.8878045581102727 0.43473142944212434
X44 25.7783333300 -80.1702777700 0.4499167922850939 -1.3992353093249172 0.15373109949736494 -0.88726371937592807 0.43489060845978894
64FL 25.7819805500 -80.3775222200 0.44998044828263856 -1.4028524073339022 0.15051615326301815 -0.88778667870775574 0.43494792874085014
89FA 25.7827833300 -80.1763333300 0.44999445943680771 -1.3993409987849694 0.15363156088663041 -0.88724667803719082 0.4349605451204821
FA10 25.7842277700 -80.1900166600 0.45001966967065521 -1.3995798179461063 0.15341779664367447 -0.88727253749088286 0.43498324552503159
07FD 25.7877777700 -80.2155555500 0.45008162885910102 -1.400025555663911 0.15301771014519897 -0.88731427256279649 0.43503903513164793
25FA 25.7928611100 -80.2114694400 0.45017034987909932 -1.3999542395908122 0.15307442694256887 -0.88726531898368344 0.43511891885435938
KMIA 25.7953611100 -80.2901158300 0.45021398311039923 -1.4013268780411199 0.1518531863736608 -0.88745588438934653 0.43515820462320248
